,Attrition,BusinessTravel_Travel_Frequently,Department_Research & Development,EnvironmentSatisfaction,JobInvolvement,JobRole_Healthcare Representative,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Sales Representative,JobSatisfaction,MaritalStatus_Married,MaritalStatus_Single,NumCompaniesWorked,OverTime_Yes,StockOptionLevel,TotalWorkingYearsLog,WorkLifeBalance,YearsAtCompanyLog,rate_income,Job_happiness_score,TenureExperienceRatio,IncomePerExperience,PromotionRecency
0,1,False,False,2,3,False,False,False,False,False,False,4,False,True,8.0,True,0,2.19722457733622,1,1.9459101490553128,13486,10.945910149055313,0.8856178439602037,3.9588464234083305,1.9459101490553128
1,0,True,True,3,2,False,False,False,False,False,False,2,True,False,1.0,False,1,2.3978952727983707,3,2.3978952727983707,19777,12.39789527279837,0.9999958296934772,3.5627161539088505,1.7047480922384253
2,1,False,True,4,2,False,True,False,False,False,False,3,False,True,6.0,True,0,2.079441541679836,3,0.0,306,11.0,0.0,3.6766414346219762,0.0
3,0,True,True,4,3,False,False,False,False,False,False,3,True,False,1.0,True,0,2.19722457733622,3,2.19722457733622,20250,14.19722457733622,0.9999954488245801,3.629975807969941,0.8109302162163294
4,0,False,True,1,3,False,True,False,False,False,False,2,True,False,8.5,False,1,1.9459101490553128,3,1.0986122886681098,13164,10.098612288668111,0.5645721327267482,4.189083324373367,0.0
5,0,True,True,4,3,False,True,False,False,False,False,4,False,True,2.0,False,0,2.19722457733622,2,2.079441541679836,8796,15.079441541679836,0.9463903231492068,3.6541874670267056,0.6931471805599456
6,0,False,True,3,4,False,True,False,False,False,False,1,True,False,4.0,True,3,2.5649493574615367,2,0.6931471805599453,7294,9.693147180559945,0.2702371008505695,3.076153308299849,0.6931471805599453
7,0,False,True,4,3,False,True,False,False,False,False,3,False,False,1.0,False,1,0.6931471805599453,3,0.6931471805599453,10642,13.693147180559945,0.9999855732577251,11.395369735028245,0.6931471805599453
8,0,True,True,4,2,False,False,False,True,False,False,3,False,True,2.0,False,0,2.3978952727983707,3,2.302585092994046,-739,14.302585092994047,0.9602485632415806,3.8207869408514217,1.6094379124341005
9,0,False,True,3,3,True,False,False,False,False,False,3,True,False,6.0,False,2,2.8903717578961645,2,2.079441541679836,11340,13.079441541679836,0.7194349106304244,2.962824893864869,0.0
10,0,False,True,1,4,False,True,False,False,False,False,2,True,False,2.0,False,1,1.9459101490553128,3,1.791759469228055,14053,11.791759469228055,0.9207774893013475,4.005514414098934,1.791759469228055
11,0,False,True,4,2,False,True,False,False,False,False,3,False,True,2.0,True,0,2.3978952727983707,3,2.302585092994046,8489,13.302585092994047,0.9602485632415806,3.4786237413487924,2.302585092994046
12,0,False,True,1,3,False,False,False,False,False,False,3,False,False,1.0,False,1,1.791759469228055,2,1.791759469228055,12259,10.791759469228055,0.999994418924883,4.451797815682795,0.18232155679395445
