Model,Threshold Strategy,AUC,Accuracy,Precision,Recall,F1 Score,True Negatives,False Positives,False Negatives,True Positives,Missed Departures,False Alarms
Logistic Regression,Default (0.50),0.8081660780428979,0.7891156462585034,0.4025974025974026,0.6595744680851063,0.5,201,46,16,31,16,46
Logistic Regression,F1-Optimized,0.8081660780428979,0.8197278911564626,0.44642857142857145,0.5319148936170213,0.4854368932038835,216,31,22,25,22,31
Logistic Regression,Recall-Optimized,0.8081660780428979,0.7244897959183674,0.33962264150943394,0.7659574468085106,0.47058823529411764,177,70,11,36,11,70
Decision Tree,Default (0.50),0.7236626755103799,0.7142857142857143,0.28735632183908044,0.5319148936170213,0.373134328358209,185,62,22,25,22,62
Decision Tree,F1-Optimized,0.7236626755103799,0.8435374149659864,0.5116279069767442,0.46808510638297873,0.4888888888888889,226,21,25,22,25,21
Decision Tree,Recall-Optimized,0.7236626755103799,0.5884353741496599,0.25,0.7872340425531915,0.37948717948717947,136,111,10,37,10,111
Random Forest,Default (0.50),0.7581187010078387,0.7993197278911565,0.4090909090909091,0.574468085106383,0.4778761061946903,208,39,20,27,20,39
Random Forest,F1-Optimized,0.7581187010078387,0.8129251700680272,0.34615384615384615,0.19148936170212766,0.2465753424657534,230,17,38,9,38,17
Random Forest,Recall-Optimized,0.7581187010078387,0.6904761904761905,0.30357142857142855,0.723404255319149,0.4276729559748428,169,78,13,34,13,78
XGBoost,Default (0.50),0.7164269101559135,0.8095238095238095,0.3953488372093023,0.3617021276595745,0.37777777777777777,221,26,30,17,30,26
XGBoost,F1-Optimized,0.7164269101559135,0.8299319727891157,0.4482758620689655,0.2765957446808511,0.34210526315789475,231,16,34,13,34,16
XGBoost,Recall-Optimized,0.7164269101559135,0.5952380952380952,0.23134328358208955,0.6595744680851063,0.3425414364640884,144,103,16,31,16,103
Neural Network,Default (0.50),0.7329658023946938,0.7925170068027211,0.3870967741935484,0.5106382978723404,0.44036697247706424,209,38,23,24,23,38
Neural Network,F1-Optimized,0.7329658023946938,0.7891156462585034,0.38095238095238093,0.5106382978723404,0.43636363636363634,208,39,23,24,23,39
Neural Network,Recall-Optimized,0.7329658023946938,0.7142857142857143,0.32038834951456313,0.7021276595744681,0.44,177,70,14,33,14,70
